iteration,investor,node,bid_quantity_mw,bid_price_eur_per_mw,accepted_mw,payment_eur,spot_revenue_eur,degradation_cost_eur,capex_daily_eur,access_payment_eur,profit_eur,bid_model_objective_eur,market_objective_eur,max_allocation_delta_mw
1,I1,N1,1.2500975343381383e-05,50.0,1.2500975343381383e-05,0.0006250487671690692,13299.7798098614,9606.221370664673,2924.7337205005565,8744.470200417949,-7975.645481721778,4958828.406295775,747942.2528059778,70.0
1,I1,N2,69.98733347617596,50.0,49.995475832166555,2499.773791608328,13299.7798098614,9606.221370664673,2924.7337205005565,8744.470200417949,-7975.645481721778,4958828.406295775,747942.2528059778,70.0
1,I1,N3,69.97962308390426,50.0,49.992721470580214,2499.636073529011,13299.7798098614,9606.221370664673,2924.7337205005565,8744.470200417949,-7975.645481721778,4958828.406295775,747942.2528059778,70.0
1,I1,N4,36.88373748550477,50.0,36.88373748550477,1844.1868742752383,13299.7798098614,9606.221370664673,2924.7337205005565,8744.470200417949,-7975.645481721778,4958828.406295775,747942.2528059778,70.0
1,I1,N5,70.0,27.155326227951473,70.0,1900.8728359566032,13299.7798098614,9606.221370664673,2924.7337205005565,8744.470200417949,-7975.645481721778,4958828.406295775,747942.2528059778,70.0
1,I2,N1,0.21152113498951777,50.0,0.21152113498951777,10.576056749475889,10738.809393760785,9139.231363406929,2967.8578152553237,7612.075188436726,-8980.354973338195,4957957.101745511,747942.2528059778,70.0
1,I2,N2,70.0,50.0,50.00452416783344,2500.226208391672,10738.809393760785,9139.231363406929,2967.8578152553237,7612.075188436726,-8980.354973338195,4957957.101745511,747942.2528059778,70.0
1,I2,N3,70.0,50.0,50.00727852941979,2500.3639264709896,10738.809393760785,9139.231363406929,2967.8578152553237,7612.075188436726,-8980.354973338195,4957957.101745511,747942.2528059778,70.0
1,I2,N4,36.81390855922262,50.0,36.81390855922262,1840.695427961131,10738.809393760785,9139.231363406929,2967.8578152553237,7612.075188436726,-8980.354973338195,4957957.101745511,747942.2528059778,70.0
1,I2,N5,70.0,25.340452295448593,30.0,760.2135688634578,10738.809393760785,9139.231363406929,2967.8578152553237,7612.075188436726,-8980.354973338195,4957957.101745511,747942.2528059778,70.0
2,I1,N1,0.0,0.0,0.0,0.0,1204374.0255869692,4963.105654175447,1166.9111426033573,3154.85933748909,1195089.1494527014,1140378.513562039,3799229.783208261,49.97327080745839
2,I1,N2,34.64257514120383,50.0,34.64257514120383,1732.1287570601914,1204374.0255869692,4963.105654175447,1166.9111426033573,3154.85933748909,1195089.1494527014,1140378.513562039,3799229.783208261,49.97327080745839
2,I1,N3,0.01945066312182332,50.0,0.01945066312182332,0.972533156091166,1204374.0255869692,4963.105654175447,1166.9111426033573,3154.85933748909,1195089.1494527014,1140378.513562039,3799229.783208261,49.97327080745839
2,I1,N4,5.326186696918415,50.0,5.326186696918415,266.3093348459208,1204374.0255869692,4963.105654175447,1166.9111426033573,3154.85933748909,1195089.1494527014,1140378.513562039,3799229.783208261,49.97327080745839
2,I1,N5,42.54961947018697,27.155324226494415,42.54961947018697,1155.4487124268867,1204374.0255869692,4963.105654175447,1166.9111426033573,3154.85933748909,1195089.1494527014,1140378.513562039,3799229.783208261,49.97327080745839
2,I2,N1,3.3064441951822707,50.0,3.3064441951822707,165.32220975911355,1198968.4339105617,2568.2171544034622,758.8589913421623,2135.508396622243,1193505.849368194,1138040.105326124,3799229.783208261,49.97327080745839
2,I2,N2,23.191815708313584,50.0,23.191815708313584,1159.5907854156792,1198968.4339105617,2568.2171544034622,758.8589913421623,2135.508396622243,1193505.849368194,1138040.105326124,3799229.783208261,49.97327080745839
2,I2,N3,16.211908028949,50.0,16.211908028949,810.5954014474501,1198968.4339105617,2568.2171544034622,758.8589913421623,2135.508396622243,1193505.849368194,1138040.105326124,3799229.783208261,49.97327080745839
2,I2,N4,0.0,0.0,0.0,0.0,1198968.4339105617,2568.2171544034622,758.8589913421623,2135.508396622243,1193505.849368194,1138040.105326124,3799229.783208261,49.97327080745839
2,I2,N5,0.0,0.0,0.0,0.0,1198968.4339105617,2568.2171544034622,758.8589913421623,2135.508396622243,1193505.849368194,1138040.105326124,3799229.783208261,49.97327080745839
